LATITUDE,LONGITUDE,HOUR,DAYOFWEEK,MONTH,BLOCK CODE,LOCATION CODE, PRIMARY DESCRIPTION
41.85146787,-87.73023068,0,0,1,16386,0,ARSON
41.79534757,-87.65126946,1,1,8,19777,17,ARSON
41.74888585,-87.60638277,0,0,1,25097,17,ARSON
41.72453425,-87.59242209,2,6,11,26527,15,ARSON
41.7632679,-87.61278521,2,5,5,23943,99,ARSON
41.8042997,-87.66485526,0,0,1,18209,120,ARSON
41.92469325,-87.64771079,20,6,10,9774,94,ARSON
41.75220388,-87.60036074,1,4,8,24811,17,ARSON
41.89230121,-87.7750478,0,0,1,2770,17,ARSON
41.78241384,-87.66671423,0,0,1,21820,101,ARSON
41.88031893,-87.75928125,0,0,1,19646,17,ARSON
41.89099829,-87.71618176,23,2,11,2370,15,ARSON
41.8604205,-87.66872761,21,2,4,6667,120,ARSON
41.80770877,-87.65886673,0,0,1,17601,99,ARSON
41.91720288,-87.7233476,0,0,1,15283,116,ARSON
41.69639084,-87.65223914,17,3,2,27706,99,ARSON
41.79600561,-87.62087904,4,1,7,19811,15,ARSON
41.7519703,-87.6465029,21,4,6,24864,99,ARSON
41.86402376,-87.70681909,2,5,6,5774,17,ARSON
41.75326705,-87.67200743,21,0,9,24747,99,ARSON
41.75299661,-87.702487,0,0,1,24693,69,ARSON
41.88793857,-87.74175376,0,0,1,17480,120,ARSON
41.77381125,-87.72263684,0,0,1,22796,47,ARSON
41.74694288,-87.61642706,0,0,1,25213,100,ARSON
41.80830249,-87.63333866,0,0,1,17671,99,ARSON
41.79169826,-87.64630264,15,5,6,20385,99,ARSON
41.88489692,-87.72578864,3,1,10,1153,17,ARSON
41.7348172,-87.63312229,0,0,1,25987,126,ARSON
41.76160991,-87.58355451,12,6,3,24114,126,ARSON
41.87361321,-87.71206046,0,0,1,13965,113,ARSON
41.74902712,-87.60269458,0,0,1,25089,17,ARSON
41.74424822,-87.65721178,0,0,1,25345,32,ARSON
41.98577393,-87.76978499,0,0,1,20578,100,ARSON
41.75276249,-87.55348873,0,0,1,24817,17,ARSON
41.75358783,-87.56315031,0,0,1,10480,99,ARSON
41.8514472,-87.73152287,0,0,1,16386,113,ARSON
41.72484137,-87.5680984,4,5,12,26499,116,ARSON
